5.05296,4.18191
7.61654,3.38786
0.370313,0.843548
2.3158,9.57281
9.39499,0.0903817
5.33726,0.247258
3.87409,2.33729
3.86473,8.12888
5.51661,4.07723
1.75696,7.56074
7.61469,0.852118
7.49992,8.5011
5.26261,8.70859
9.39501,0.202978
7.61776,8.09847
8.02381,4.87731
8.11101,0.756683
1.65398,0.818549
9.57263,9.98728
9.91683,8.94413
5.94987,3.22861
1.49017,5.61298
0.573889,9.30574
0.318389,4.89458
0.4103,8.21756
9.25812,0.53933
7.55454,3.2054
1.96743,0.643061
5.4825,8.80471
2.93886,8.96903
3.4675,2.8628
0.543949,8.3517
6.86626,7.90584
9.15262,3.24128
2.63772,0.394509
6.91451,7.54932
3.65592,1.19455
2.92441,3.04927
9.07678,5.8682
3.33137,0.168543
3.20164,0.0971876
7.58708,2.00134
4.63341,2.03394
3.15478,8.01766
3.34971,3.6807
4.37725,5.16823
5.18975,0.660556
5.61167,6.28733
7.27328,3.38396
8.42129,7.72757
2.53432,9.57488
4.60743,3.8743
1.25468,7.64316
2.67988,4.84041
7.44782,3.998
9.57728,8.50387
0.529085,8.74241
5.36146,1.85473
8.94134,2.49046
5.75917,5.30817
4.51555,4.05731
8.2656,7.23894
6.76014,5.92872
6.43909,2.24877
3.18044,9.46146
3.89206,3.72762
9.0753,4.38565
1.33071,2.57882
6.39735,2.9362
2.30645,3.26105
7.76838,5.86907
3.79968,0.786647
6.94439,8.94997
4.98709,9.25465
2.31682,4.12605
3.65763,9.5561
0.885562,3.81349
1.93921,5.98669
3.45328,9.11978
1.3472,9.37235
7.7718,7.09701
9.21291,6.85804
3.911,3.10982
7.677,9.20884
3.30646,6.40834
0.883851,7.95214
5.03539,2.38719
7.87409,3.77985
3.54565,9.11831
1.48318,1.13779
7.87064,3.65988
5.34898,0.606048
9.67954,0.655273
4.66469,3.03466
1.59808,5.23232
2.89113,1.94028
7.91811,8.39468
3.2394,0.88798
9.09922,4.51679
8.94287,2.80092
